Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
30,-6.891524631341395,-6.903069703223196,-6.914614775104996,-6.9261598469867955,-6.937704918868596,-6.949249990750396,-6.960795062632197,-6.972340134513997,-6.983885206395797,-6.995430278277598,-7.006975350159398,-7.018520422041199,-7.030065493922999,-7.041610565804799,-7.0531556376866,-7.0647007095684,-7.076245781450201,-7.087790853332001,-7.099335925213801,-7.1108809970956015,-7.1224260689774015,-7.133971140859202,-7.145516212741002,-7.157061284622802,-7.168606356504603,-7.180151428386403
31,-6.8368934829607095,-6.848366280803238,-6.859839078645766,-6.871311876488295,-6.882784674330822,-6.894257472173351,-6.905730270015879,-6.9172030678584076,-6.928675865700935,-6.9401486635434635,-6.951621461385992,-6.96309425922852,-6.974567057071049,-6.986039854913577,-6.997512652756105,-7.008985450598633,-7.0204582484411615,-7.03193104628369,-7.043403844126218,-7.054876641968746,-7.066349439811274,-7.077822237653803,-7.089295035496331,-7.1007678333388595,-7.112240631181387,-7.1237134290239155
32,-6.798398271702194,-6.810175493234859,-6.821952714767525,-6.83372993630019,-6.845507157832857,-6.857284379365522,-6.8690616008981875,-6.880838822430853,-6.8926160439635185,-6.904393265496184,-6.91617048702885,-6.927947708561516,-6.939724930094181,-6.951502151626847,-6.963279373159512,-6.9750565946921785,-6.986833816224844,-6.9986110377575095,-7.010388259290175,-7.02216548082284,-7.033942702355507,-7.045719923888172,-7.057497145420838,-7.069274366953503,-7.081051588486169,-7.092828810018834
33,-6.749827070091392,-6.761709729271666,-6.77359238845194,-6.785475047632214,-6.7973577068124875,-6.809240365992761,-6.821123025173035,-6.833005684353309,-6.844888343533583,-6.856771002713857,-6.868653661894131,-6.880536321074404,-6.8924189802546785,-6.9043016394349515,-6.916184298615226,-6.928066957795499,-6.939949616975774,-6.951832276156047,-6.963714935336322,-6.975597594516595,-6.987480253696869,-6.999362912877142,-7.011245572057416,-7.02312823123769,-7.035010890417964,-7.046893549598238
34,-6.714051175774709,-6.726203421968097,-6.738355668161485,-6.7505079143548725,-6.76266016054826,-6.774812406741648,-6.786964652935036,-6.799116899128424,-6.811269145321812,-6.8234213915152,-6.835573637708588,-6.847725883901976,-6.859878130095364,-6.872030376288752,-6.88418262248214,-6.8963348686755275,-6.908487114868915,-6.920639361062303,-6.932791607255691,-6.944943853449079,-6.957096099642467,-6.9692483458358545,-6.981400592029242,-6.99355283822263,-7.005705084416018,-7.017857330609406
35,-6.656223172370298,-6.66857396552945,-6.6809247586886,-6.6932755518477505,-6.705626345006901,-6.717977138166051,-6.730327931325203,-6.742678724484353,-6.755029517643504,-6.767380310802654,-6.7797311039618045,-6.792081897120955,-6.804432690280105,-6.816783483439257,-6.829134276598407,-6.8414850697575575,-6.853835862916708,-6.866186656075858,-6.87853744923501,-6.89088824239416,-6.903239035553311,-6.915589828712461,-6.9279406218716115,-6.940291415030762,-6.952642208189912,-6.964993001349064
36,-6.603413646128283,-6.615986450825202,-6.628559255522121,-6.64113206021904,-6.653704864915959,-6.666277669612878,-6.678850474309797,-6.691423279006716,-6.703996083703635,-6.716568888400554,-6.729141693097473,-6.741714497794392,-6.754287302491311,-6.76686010718823,-6.779432911885149,-6.792005716582068,-6.804578521278986,-6.817151325975906,-6.829724130672824,-6.842296935369744,-6.854869740066663,-6.867442544763581,-6.880015349460501,-6.892588154157419,-6.905160958854339,-6.917733763551257
37,-6.539277072850301,-6.5518923738679,-6.5645076748854985,-6.577122975903096,-6.589738276920695,-6.602353577938294,-6.614968878955892,-6.627584179973491,-6.64019948099109,-6.652814782008688,-6.665430083026287,-6.678045384043886,-6.690660685061484,-6.703275986079083,-6.715891287096682,-6.72850658811428,-6.741121889131879,-6.753737190149478,-6.766352491167076,-6.778967792184675,-6.791583093202274,-6.804198394219872,-6.816813695237471,-6.82942899625507,-6.842044297272668,-6.854659598290267
38,-6.459545734157635,-6.472202885446599,-6.4848600367355616,-6.497517188024525,-6.510174339313488,-6.522831490602451,-6.535488641891414,-6.548145793180377,-6.56080294446934,-6.573460095758303,-6.586117247047266,-6.598774398336229,-6.611431549625192,-6.624088700914155,-6.636745852203118,-6.649403003492081,-6.662060154781044,-6.674717306070007,-6.68737445735897,-6.700031608647933,-6.712688759936896,-6.725345911225859,-6.738003062514822,-6.750660213803785,-6.763317365092748,-6.775974516381711
39,-6.41571882432504,-6.428664882460874,-6.441610940596708,-6.454556998732541,-6.467503056868376,-6.480449115004209,-6.493395173140043,-6.506341231275877,-6.519287289411711,-6.532233347547544,-6.5451794056833785,-6.558125463819212,-6.571071521955046,-6.58401758009088,-6.596963638226713,-6.609909696362547,-6.6228557544983815,-6.635801812634215,-6.648747870770048,-6.6616939289058825,-6.674639987041717,-6.68758604517755,-6.700532103313384,-6.713478161449218,-6.726424219585051,-6.7393702777208855
40,-6.332689584868728,-6.345505733070814,-6.358321881272901,-6.371138029474987,-6.383954177677074,-6.39677032587916,-6.409586474081247,-6.422402622283333,-6.43521877048542,-6.448034918687506,-6.460851066889593,-6.473667215091679,-6.486483363293766,-6.4992995114958525,-6.512115659697939,-6.524931807900026,-6.537747956102113,-6.550564104304199,-6.563380252506285,-6.576196400708372,-6.589012548910458,-6.601828697112545,-6.614644845314631,-6.627460993516718,-6.640277141718804,-6.653093289920891
41,-6.257527977957334,-6.270292719209674,-6.283057460462012,-6.295822201714351,-6.30858694296669,-6.321351684219028,-6.334116425471367,-6.346881166723706,-6.359645907976045,-6.372410649228383,-6.385175390480722,-6.397940131733061,-6.4107048729853995,-6.423469614237739,-6.436234355490077,-6.4489990967424164,-6.461763837994755,-6.474528579247094,-6.4872933204994325,-6.500058061751771,-6.51282280300411,-6.525587544256449,-6.538352285508788,-6.551117026761126,-6.563881768013465,-6.576646509265804
42,-6.174215803548674,-6.187064640132954,-6.199913476717235,-6.212762313301515,-6.225611149885796,-6.238459986470076,-6.251308823054357,-6.264157659638637,-6.277006496222917,-6.289855332807198,-6.302704169391478,-6.315553005975759,-6.328401842560039,-6.34125067914432,-6.3540995157286,-6.36694835231288,-6.379797188897161,-6.392646025481441,-6.405494862065722,-6.418343698650002,-6.431192535234283,-6.444041371818563,-6.456890208402843,-6.469739044987124,-6.482587881571404,-6.495436718155685
43,-6.098243918788139,-6.111050377590188,-6.123856836392236,-6.1366632951942846,-6.149469753996334,-6.162276212798382,-6.17508267160043,-6.187889130402479,-6.2006955892045275,-6.213502048006577,-6.226308506808625,-6.239114965610673,-6.251921424412722,-6.26472788321477,-6.2775343420168195,-6.290340800818868,-6.303147259620916,-6.315953718422964,-6.328760177225013,-6.3415666360270615,-6.354373094829111,-6.367179553631159,-6.379986012433207,-6.392792471235256,-6.405598930037304,-6.418405388839353
44,-6.0250900961948375,-6.037908934257599,-6.05072777232036,-6.0635466103831215,-6.076365448445882,-6.089184286508644,-6.1020031245714055,-6.114821962634166,-6.127640800696928,-6.140459638759689,-6.15327847682245,-6.166097314885212,-6.178916152947973,-6.191734991010734,-6.204553829073496,-6.217372667136257,-6.230191505199018,-6.24301034326178,-6.255829181324541,-6.268648019387302,-6.281466857450063,-6.294285695512825,-6.307104533575586,-6.319923371638347,-6.332742209701109,-6.345561047763869
