Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
20,0.0007392511971056429,0.0007296292822725314,0.0007201326039563414,0.0007107595321088506,0.0007015084578981499,0.0006923777934324976,0.0006833659714877668,0.0006744714452384407,0.0006656926879921099,0.0006570281929274231,0.0006484764728354536,0.0006400360598644244,0.000631705505267763,0.0006234833791554322,0.0006153682702484974,0.0006073587856368898,0.0005994535505403207,0.0005916512080723097,0.0005839504190072826,0.0005763498615507014,0.0005688482311121862,0.00056144424008159,0.0005541366176079885,0.0005469241093815451,0.0005398054774182172,0.0005327794998472631
21,0.0007851032587766606,0.0007753297194235626,0.0007656778482337516,0.0007561461305929811,0.0007467330707420275,0.0007374371915419731,0.0007282570342424047,0.0007191911582525008,0.0007102381409149674,0.0007013965772827901,0.0006926650798987604,0.0006840422785777521,0.0006755268201917052,0.000667117368457287,0.000658812603726196,0.0006506112227780798,0.0006425119386160232,0.0006345134802645908,0.0006266145925703782,0.0006188140360050479,0.0006111105864708188,0.0006035030351083727,0.0005959901881071558,0.0005885708665180417,0.000581243906068324,0.000574008156979014
22,0.0008224910866638742,0.0008121147510702536,0.0008018693206525025,0.000791753143944657,0.0007817645903152226,0.0007719020497043287,0.0007621639323642079,0.0007525486686029399,0.0007430547085314338,0.0007336805218135981,0.0007244245974196694,0.0007152854433826459,0.0007062615865577953,0.0006973515723852015,0.000688553964655301,0.0006798673452773804,0.0006712903140509915,0.0006628214884402562,0.0006544595033510125,0.0006462030109107728,0.0006380506802514632,0.000630001197294898,0.0006220532645409639,0.0006142056008584728,0.0006064569412786592,0.0005988060367912775
23,0.0008156536826891991,0.0008054369613613227,0.0007953482127219872,0.0007853858338098806,0.0007755482417420778,0.0007658338734625411,0.000756241185493772,0.0007467686536915755,0.0007374147730028918,0.0007281780572266687,0.0007190570387777223,0.0007100502684535591,0.000701156315204116,0.00069237376590439,0.0006837012251299092,0.0006751373149350212,0.0006666806746339559,0.0006583299605846324,0.0006500838459751702,0.0006419410206130818,0.0006339001907170982,0.0006259600787116063,0.0006181194230236598,0.0006103769778825314,0.0006027315131217802,0.0005951818139837934
24,0.0007979881700718718,0.0007881003955131855,0.0007783351391689174,0.0007686908829307418,0.0007591661275010322,0.0007497593921597747,0.0007404692145343774,0.0007312941503723316,0.0007222327733166839,0.0007132836746842989,0.0007044454632468613,0.0006957167650145968,0.0006870962230226739,0.0006785824971202447,0.0006701742637621104,0.0006618702158029584,0.0006536690622941548,0.0006455695282830556,0.0006375703546147976,0.0006296702977365553,0.0006218681295042127,0.0006141626369914412,0.0006065526223011328,0.0005990369023791778,0.0005916143088305478,0.0005842836877376534
25,0.0008762233351163369,0.0008655776020320131,0.000855061209982516,0.0008446725875304282,0.0008344101823306173,0.0008242724608982678,0.0008142579083797412,0.0008043650283262105,0.000794592342470055,0.000784938390503961,0.0007754017298627172,0.0007659809355076508,0.0007566745997136926,0.0007474813318590195,0.0007383997582172619,0.0007294285217522269,0.0007205662819151247,0.0007118117144442486,0.0007031635111670992,0.0006946203798049025,0.0006861810437795132,0.0006778442420226535,0.0006696087287874799,0.0006614732734624303,0.0006534366603873408,0.0006454976886717884
26,0.0009724587424627379,0.0009610528514148462,0.0009497807391535657,0.0009386408365981768,0.0009276315930715804,0.0009167514760844454,0.0009059989711218876,0.0008953725814326474,0.0008848708278207393,0.0008744922484395498,0.0008642353985883502,0.0008540988505111881,0.0008440811931981494,0.0008341810321889426,0.0008243969893787882,0.000814727702826588,0.0008051718265653435,0.0007957280304147963,0.0007863949997962634,0.0007771714355496536,0.000768056053752618,0.000759047585541833,0.0007501447769363702,0.0007413463886631429,0.0007326511959844024,0.0007240579885272481
27,0.0010082382457965791,0.0009966121179283951,0.0009851200524703316,0.000973760503531099,0.0009625319430452821,0.000951432860567792,0.0009404617630706782,0.0009296171747422926,0.0009188976367887655,0.0009083017072377714,0.0008978279607445574,0.0008874749884002081,0.0008772413975421218,0.0008671258115666747,0.0008571268697440382,0.0008472432270351391,0.0008374735539107268,0.0008278165361725273,0.0008182708747764599,0.0008088352856578922,0.0007995084995589099,0.0007902892618575778,0.000781176332399174,0.0007721684853293613,0.0007632645089292908,0.0007544632054526033
28,0.0010815215695975334,0.0010691854712108885,0.0010569900813664343,0.0010449337951082733,0.0010330150257870261,0.0010212322048510252,0.0010095837816398812,0.000998068223180419,0.0009866840139849255,0.0009754296558517101,0.0009643036676679377,0.0009533045852147045,0.000942430960974344,0.0009316813639399312,0.0009210543794269514,0.0009105486088871288,0.000900162669724368,0.000889895195112801,0.0008797448338169106,0.0008697102500136991,0.0008597901231168908,0.0008499831476031414,0.0008402880328402204,0.0008307035029171657,0.0008212282964763644,0.0008118611665475556
29,0.001174454716730616,0.0011610638734434271,0.0011478257092518125,0.0011347384833463434,0.0011218004747658742,0.0011090099821712334,0.0010963653236215007,0.0010838648363528278,0.0010715068765597946,0.001059289819179243,0.0010472120576765862,0.001035272003834546,0.0010234680875443089,0.0010117987565990544,0.0010002624764898417,0.0009888577302038237,0.0009775830180247574,0.0009664368573357972,0.000955417782424529,0.0009445243442902312,0.0009337551104533285,0.0009231086647670277,0.0009125836072310916,0.0009021785538077402,0.0008918921362396526,0.000881723001870038
30,0.0012781580625291437,0.0012634864909576585,0.0012489833297093477,0.0012346466456554497,0.0012204745278569802,0.0012064650873100144,0.0011926164566939059,0.0011789267901223934,0.0011653942628975552,0.0011520170712666033,0.0011387934321814537,0.0011257215830610663,0.001112799781556514,0.0011000263053187367,0.0010873994517689777,0.00107491753787184,0.0010625788999109565,0.0010503818932672364,0.0010383248921996464,0.0010264062896285242,0.001014624496921362,0.0010029779436810623,0.0009914650775366208,0.000980084363936205,0.0009688342859426197,0.0009577133440311097
31,0.0013731553488323493,0.0013574914413440541,0.0013420062157492622,0.0013266976337813962,0.001311563680424871,0.0012966023636498587,0.0012818117141500868,0.0012671897850836254,0.0012527346518166275,0.0012384444116700021,0.0012243171836689673,0.0012103511082954647,0.0011965443472433989,0.0011828950831766633,0.0011694015194899368,0.0011560618800721984,0.0011428744090729455,0.0011298373706710779,0.0011169490488464136,0.0011042077471538215,0.0010916117884999198,0.0010791595149223269,0.0010668492873714315,0.0010546794854946445,0.0010426485074231256,0.0010307547695609291
32,0.0014320349029443022,0.001415268435645753,0.0013986982725190463,0.0013823221152071598,0.0013661376922625584,0.001350142758832136,0.001334335096345845,0.00131871251220897,0.0013032728394980035,0.0012880139366600882,0.001272933687215968,0.0012580299994664256,0.001243300806202155,0.0012287440644170278,0.0012143577550247243,0.0012001398825786688,0.0011860884749952585,0.001172201583280324,0.0011584772812587962,0.0011449136653075343,0.0011315088540912903,0.0011182609883017521,0.001105168230399654,0.0010922287643598994,0.0010794407954196708,0.001066802549829487
33,0.0015386081878799964,0.0015204336260830871,0.0015024737483747665,0.001484726018833761,0.0014671879314939597,0.001449857009990573,0.0014327308072104726,0.0014158069049466605,0.0013990829135568197,0.0013825564716258988,0.0013662252456326824,0.0013500869296202986,0.0013341392448706208,0.0013183799395825133,0.0013028067885538794,0.0012874175928674649,0.001272210179580371,0.0012571824014172381,0.0012423321364670517,0.0012276572878835296,0.0012131557835890487,0.0011988255759820706,0.0011846646416480199,0.001170670981073581,0.001156842618364368,0.0011431776009659285
34,0.001640937269592254,0.0016211168710035418,0.0016015358771791035,0.001582191396419214,0.001563080571952138,0.0015442005815122465,0.0015255486369232254,0.0015071219836863235,0.001488917900573569,0.0014709336992259027,0.0014531667237561634,0.0014356143503568698,0.0014182739869127395,0.001401143072617888,0.0013842190775976515,0.0013674995025349786,0.001350981878301333,0.001334663765592056,0.001318542754566132,0.0013026164644903064,0.001286882543387501,0.0012713386676894776,0.001255982541893694,0.0012408118982243095,0.0012258244962972792,0.0012110181227894992
35,0.0017117277106871267,0.0016907165352188058,0.0016699632684656397,0.0016494647446406694,0.0016292178368164443,0.0016092194564480348,0.0015894665529018904,0.001569956112990485,0.0015506851605126715,0.0015316507557996848,0.0015128499952667058,0.001494280010969941,0.001475937970169135,0.0014578210748954514,0.001439926561524659,0.0014222517003555624,0.0014047937951935947,0.0013875501829395333,0.0013705182331832605,0.0013536953478025086,0.0013370789605665313,0.0013206665367446455,0.0013044555727195657,0.001288443595605497,0.00127262816287091,0.0012570068619659467
